id,host_id,property_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,review_scores_rating
13890750,10190138,Apartment,280,,,500,50,50,1,1125,20,48,78,353,98
13891378,1410571,House,127,,,300,75,15,2,1125,10,35,62,147,95
13891714,82280841,Guest suite,75,,,,10,0,1,1125,4,28,42,317,98
13900675,2302916,Guest suite,120,,,200,80,0,1,1125,21,29,48,323,100
13900720,43050141,Apartment,100,,,0,0,0,1,1125,8,23,37,37,95
13902520,20757736,Apartment,60,403,1599,,20,15,1,14,12,26,56,56,98
13903585,51125062,Apartment,154,,,199,50,30,2,1125,4,14,26,26,90
13906282,53802542,Apartment,60,,,,15,30,1,1125,0,0,0,0,
13906860,65149000,Serviced apartment,127,,,300,70,30,1,1125,23,37,40,315,83
13911759,75336099,Apartment,550,,,150,50,250,3,100,27,57,87,87,20
13916399,82589211,Apartment,79,,,200,35,0,3,1125,0,0,0,0,
13917003,82596311,Apartment,71,,,,,0,1,1125,0,0,0,0,97
13917055,70713748,Bed and breakfast,130,,,,,0,1,1125,26,52,82,357,100
13917317,15791875,Apartment,65,400,1500,150,10,10,1,1125,0,0,0,0,100
13917545,82602756,House,180,,,220,25,0,1,28,26,56,86,86,94
13919717,32949460,Apartment,199,,,150,130,25,2,1125,20,46,76,166,97
13927200,14974757,Apartment,96,,,,,0,2,30,0,0,0,0,98
13927780,11737644,House,399,,,500,150,0,4,1125,0,0,0,0,
13928228,6268096,House,199,,,,,100,3,5,0,0,0,0,
13929325,65976225,House,96,501,1602,,25,15,1,1125,0,23,53,328,97
13929561,23952359,Apartment,400,,,400,120,0,3,1125,8,23,51,96,98
13929742,82768400,Guest suite,100,,,130,40,30,1,1125,11,34,64,77,97
13932998,44617840,House,30,,,350,15,10,1,1125,22,52,82,357,81
13935024,67584484,Villa,29,,,500,15,0,1,1125,0,0,0,0,
13941554,34560163,House,295,,,0,50,0,2,1125,4,13,30,268,100
13941646,17914193,Apartment,60,,,,20,0,3,1125,0,0,0,0,
13942283,78388391,House,80,,,,,0,1,1125,30,60,90,365,
13942559,6526518,Townhouse,50,,,150,40,10,2,1125,0,0,0,0,90
13943300,76095748,Townhouse,251,,,500,99,0,2,1125,0,0,0,0,100
13944037,42260023,Apartment,165,,,0,43,37,3,1124,15,41,65,65,93
13944605,26716551,House,415,,,1000,125,0,3,300,3,29,56,331,99
13944676,14904838,House,40,,,,20,0,2,7,0,0,0,0,100
13945522,51771877,Apartment,90,,,,20,0,1,1125,0,0,0,0,
13946851,21311740,Apartment,65,,,,20,10,3,60,5,5,8,98,100
13947169,51540771,Apartment,40,,,200,30,40,2,1125,30,60,90,90,100
13947221,20402752,House,50,,,200,30,15,3,1125,29,59,89,89,92
13947254,51172609,Apartment,109,,,250,99,0,1,1125,0,7,25,34,89
13947511,1739996,Apartment,100,,,400,99,29,2,300,21,51,81,104,95
13948209,4197844,House,109,,,,55,20,4,1125,0,0,0,0,80
13948216,82961566,Apartment,158,,,300,80,30,2,1125,0,0,0,0,98
